year_film,year_ceremony,film,budget,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience
1990,1991,A Grand Day Out,15290.00,,,,7.8,,100,87
1990,1991,Alice,12000000.00,36274.00,7331647.00,7331647.00,6.6,67,75,57
1990,1991,American Dream,,9291.00,269823.00,269823.00,7.9,,100,88
1990,1991,Avalon,20000000.00,226613.00,15740796.00,15779578.00,7.2,68,85,87
1990,1991,Awakenings,31000000.00,417076.00,52096475.00,52096475.00,7.8,74,88,89
1990,1991,Berkeley in the Sixties,,,,,7.5,,100,76
1990,1991,Bronx Cheers,,,,,6.8,,,
1990,1991,Building Bombs,,,,,6.2,,,
1990,1991,Burning Down Tomorrow,,,,,7.7,,,
1990,1991,Chimps: So Like Us,,,,,7.1,,,
1990,1991,Creature Comforts,,,112175.00,112175.00,7.7,69,93,81
1990,1991,Cyrano de Bergerac,15300000.00,,5820020.00,5822041.00,7.5,79,100,90
1990,1991,Dances With Wolves,22000000.00,598257.00,184208848.00,424208848.00,8,72,83,87
1990,1991,Days of Thunder,60000000.00,15490445.00,82670733.00,157920733.00,6.1,60,38,60
1990,1991,Days of Waiting,,,,,7.6,,,
1990,1991,Dear Rosie,,,,,6.5,,,
1990,1991,Dick Tracy,47000000.00,22543911.00,103738726.00,162738726.00,6.1,68,63,53
1990,1991,Edward Scissorhands,20000000.00,159622.00,56362352.00,86024005.00,7.9,74,90,91
1990,1991,Flatliners,26000000.00,10034685.00,61489265.00,6148926561489260.00,6.6,55,49,59
1990,1991,Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,,,,,5.8,,,
1990,1991,Ghost,22000000.00,12191540.00,217631306.00,505703557.00,7.1,52,74,80
1990,1991,Good Fellas,25000000.00,6368901.00,46836214.00,46952991.00,8.7,90,96,97
1990,1991,Grasshoppers (Cavallette),,,,,7.3,,,
1990,1991,Green Card,12500000.00,47781.00,29888235.00,29888235.00,6.3,58,60,50
1990,1991,Hamlet,12600000.00,116975.00,20710451.00,20710451.00,6.7,53,76,59
1990,1991,Havana,40000000.00,2175360.00,9243140.00,9645440.00,6.1,,28,57
1990,1991,Henry & June,v,1032942.00,11567449.00,23472449.00,6.3,62,62,68
1990,1991,Home Alone,18000000.00,17081997.00,285761243.00,476684675.00,7.6,63,67,80
1990,1991,Journey into Life: The World of the Unborn,,,,,6.2,,,
1990,1991,Journey of Hope,,12489.00,261718.00,261718.00,7.5,,83,84
1990,1991,Ju Dou,,10300.00,1986433.00,1986433.00,7.6,,100,89
1990,1991,Longtime Companion,3000000.00,50525.00,4609953.00,4609953.00,7.5,,89,83
1990,1991,Metropolitan,230000.00,46663.00,2960492.00,2960492.00,7.4,77,93,85
1990,1991,Misery,20000000.00,10076834.00,61276872.00,61276872.00,7.8,75,90,90
1990,1991,Mr. & Mrs. Bridge,,57959.00,7698010.00,7698010.00,6.6,73,80,43
1990,1991,Open Doors,,15726.00,123470.00,123470.00,7.1,,,88
1990,1991,Postcards from the Edge,22000000.00,7871856.00,39071603.00,39071603.00,6.7,71,84,66
1990,1991,Pretty Woman,14000000.00,11280591.00,178406268.00,463406268.00,7,51,64,68
1990,1991,Reversal of Fortune,,176985.00,15445131.00,15445131.00,7.2,93,92,78
1990,1991,Rose Kennedy: A Life to Remember,,,,,5.8,,,
1990,1991,Senzeni Na? (What Have We Done?),,,,,7,,,
1990,1991,The Field,7650000.00,27948.00,1494399.00,1494399.00,7.4,,43,81
1990,1991,"The Godfather, Part III",54000000.00,6387271.00,66761392.00,136861392.00,7.6,60,68,62
1990,1991,The Grifters,,71034.00,13446769.00,13446769.00,6.9,86,91,70
1990,1991,The Hunt for Red October,30000000.00,17161835.00,122012643.00,200512643.00,7.6,58,89,88
1990,1991,The Lunch Date,,,,,7.5,,,
1990,1991,The Nasty Girl,,19491.00,2281569.00,2293625.00,7.3,,67,74
1990,1991,Total Recall,65000000.00,25533700.00,119412921.00,261317921.00,7.5,57,82,78
1990,1991,Waldo Salt: A Screenwriter's Journey,,,,,7.1,,,
1990,1991,Wild at Heart,9500000.00,2913764.00,14560247.00,14561425.00,7.2,52,67,81
1990,1991,Young Guns II,20000000.00,8017438.00,44143410.00,44143410.00,6.5,47,35,66
1990,1991,12:01:00 PM,,,,,7.6,,,
1991,1992,A Little Vicious,,,,,7.8,,,
1991,1992,Backdraft,40000000.00,12686200.00,77868585.00,152368585.00,6.7,38,74,75
1991,1992,Barton Fink,9000000.00,268561.00,6153939.00,6153939.00,7.7,69,90,89
1991,1992,Beauty and the Beast,25000000.00,162146.00,218967620.00,424967620.00,8,95,94,92
1991,1992,Birch Street Gym,,,,,6.1,,,
1991,1992,Birdnesters of Thailand (aka 'Shadow Hunters'),,,,,7.6,,,
1991,1992,Blackfly,,,,,6.5,,,
1991,1992,Boyz N the Hood,6500000.00,10023462.00,57504069.00,57529070.00,7.8,76,96,93
1991,1992,Bugsy,30000000.00,140358.00,49114016.00,49114016.00,6.8,80,85,69
1991,1992,Cape Fear,35000000.00,10261025.00,79091969.00,182291969.00,7.3,73,75,77
1991,1992,Children of Nature,,,,,7.3,,,81
1991,1992,City Slickers,27000000.00,13032121.00,124033791.00,179033791.00,6.8,70,90,64
1991,1992,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",,,,,5.3,,,
1991,1992,Death on the Job,,,,,7.5,,,
1991,1992,Doing Time: Life inside the Big House,,,,,7.3,,,
1991,1992,Europa Europa,,"31,433, 30",5575738.00,5575738.00,7.6,,95,91
1991,1992,For the Boys,40000000.00,71348.00,17860280.00,23202444.00,6.4,,43,75
1991,1992,Fried Green Tomatoes,11000000.00,105317.00,82418501.00,119418501.00,7.7,64,74,91
1991,1992,Grand Canyon,,67546.00,33243020.00,40991329.00,6.9,64,77,70
1991,1992,Hook,70000000.00,13522535.00,119654823.00,300854823.00,6.8,52,29,76
1991,1992,In the Shadow of the Stars,,,,,6.4,,,50
1991,1992,JFK,40000000.00,5223658.00,70405498.00,205405498.00,8,72,84,88
1991,1992,Last Breeze of Summer,,,,,7.3,,,
1991,1992,Madame Bovary,,236113.00,1942423.00,1942423.00,6.6,,73,60
1991,1992,Manipulation,,,,,6.7,,,
1991,1992,Mediterraneo,,,4532791.00,4532791.00,7.5,,79,91
1991,1992,Memorial: Letters from American Soldiers,,,,,6.6,,,
1991,1992,Raise the Red Lantern,,22554.00,2603061.00,2603061.00,8.1,,96,94
1991,1992,Rambling Rose,7500000.00,314631.00,6266621.00,6266621.00,6.6,,100,53
1991,1992,Robin Hood: Prince of Thieves,48000000.00,25625602.00,165493908.00,390493908.00,6.9,51,51,72
1991,1992,Session Man,,,,,6.4,,,
1991,1992,Star Trek VI The Undiscovered Country,30000000.00,18162837.00,74888996.00,96888996.00,7.2,65,82,83
1991,1992,Strings,,,,,6.5,,,
1991,1992,Terminator 2: Judgment Day,102000000.00,31765506.00,205881154.00,520881154.00,8.5,75,93,94
1991,1992,The Addams Family,30000000.00,24203754.00,113502426.00,191502426.00,6.9,57,64,66
1991,1992,The Commitments,12000000.00,271333.00,14919570.00,14919570.00,7.6,73,89,90
1991,1992,The Elementary School,,,,,7.9,,,93
1991,1992,The Fisher King,24000000.00,311662.00,41895491.00,41895491.00,7.5,61,84,86
1991,1992,The Mark of the Maker,,,,,6.3,,,
1991,1992,The Ox,,4285.00,14513.00,14513.00,7.1,,,67
1991,1992,The Prince of Tides,30000000.00,10035412.00,74787599.00,74787599.00,6.8,65,70,70
1991,1992,The Restless Conscience,,,,,7.4,,,
1991,1992,The Silence of the Lambs,19000000.00,13766814.00,130742922.00,272742922.00,8.6,85,96,95
1991,1992,Thelma & Louise,16500000.00,6101297.00,45360915.00,45454537.00,7.5,88,85,82
1991,1992,Wild by Law,,,,,7,,,
1992,1993,A Few Good Men,41000000.00,15517468.00,141340178.00,243240178.00,7.7,62,83,89
1992,1993,A Place in the World,,9970.00,99707.00,99707.00,7.8,,,9.2
1992,1993,A River Runs through It,12000000.00,298277.00,43440294.00,43440294.00,7.2,68,80,83
1992,1993,Adam,,,,,6.6,,,
1992,1993,Aladdin,28000000.00,196664.00,217350219.00,504050219.00,8,86,95,92
1992,1993,Alien 3,50000000.00,19449867.00,55473545.00,159814498.00,6.5,59,45,47
1992,1993,At the Edge of Conquest: The Journey of Chief Wai-Wai,,,,,,,,
1992,1993,Basic Instinct,49000000.00,15129385.00,117727224.00,352927224.00,7,41,54,63
1992,1993,Batman Returns,80000000.00,45687711.00,162902340.00,266892996.00,7,68,80,73
1992,1993,Beyond Imagining: Margaret Anderson and the 'Little Review',,,,,6.7,,,
1992,1993,Bram Stoker's Dracula,40000000.00,30521679.00,82522790.00,215862692.00,7.4,57,74,79
1992,1993,Changing Our Minds: The Story of Dr. Evelyn Hooker,,,,,6.9,,,
1992,1993,Chaplin,31000000.00,84669.00,9493259.00,9493259.00,7.6,47,59,81
1992,1993,Close to Eden,,,377832.00,377832.00,7.7,,100,94
1992,1993,Contact,,,,,7.1,,,77
1992,1993,Cruise Control,,,,,3.8,,,
1992,1993,Daens,,,,,7.5,,,81
1992,1993,Damage,,101707.00,7532911.00,7532911.00,6.8,,78,73
1992,1993,Death Becomes Her,55000000.00,12110355.00,58422650.00,149022650.00,6.6,56,55,61
1992,1993,Educating Peter,,,,,7.5,,,
1992,1993,Enchanted April,,73041.00,13200170.00,13200170.00,7.4,78,84,83
1992,1993,Fires of Kuwait,,,,,7.3,,,95
1992,1993,Glengarry Glen Ross,12500000.00,2104402.00,10725228.00,10725228.00,7.7,82,95,88
1992,1993,Hoffa,35000000.00,6406012.00,24276506.00,29302121.00,6.6,50,52,59
1992,1993,Howards End,,52568.00,26126837.00,26341736.00,7.4,88,94,82
1992,1993,Husbands and Wives,20000000.00,3520550.00,10555619.00,10555619.00,7.5,84,93,87
1992,1993,Indochine,,,5603158.00,5603158.00,7.1,,7.2,84
1992,1993,Liberators: Fighting on Two Fronts in World War II,,,,,4.5,,,
1992,1993,Lorenzo's Oil,30000000.00,79353.00,7286388.00,7286388.00,7.3,80,92,79
1992,1993,Love Field,18000000.00,301000.00,1014726.00,1014726.00,6.6,,40,56
1992,1993,Malcolm X,33000000.00,9871125.00,48169910.00,48169910.00,7.7,73,89,91
1992,1993,Mona Lisa Descending a Staircase,,,,,6.8,,,
1992,1993,Mr. Saturday Night,43000000.00,4514027.00,13351357.00,13351357.00,5.9,,58,38
1992,1993,Music for the Movies: Bernard Herrmann,,,,,7.4,,,
1992,1993,My Cousin Vinny,11000000.00,7416751.00,52929168.00,64088552.00,7.6,68,86,87
1992,1993,Omnibus,,,,,7,,,
1992,1993,Passion Fish,3330000.00,14385.00,4814619.00,4814619.00,7.4,,100,82
1992,1993,"Reci, Reci, Reci... (Words, Words, Words)",,,92080.00,92080.00,7.1,,,
1992,1993,Scent of a Woman,31000000.00,357468.00,63095253.00,134095253.00,8,59,89,92
1992,1993,Schtonk!,9920000.00,,,,7.2,,,
1992,1993,Screen Play,,,,,7.2,,,
1992,1993,Swan Song,,,,,7.6,,,
1992,1993,The Bodyguard,25000000.00,16611793.00,122006740.00,411006740.00,6.3,39,33,64
1992,1993,The Colours of My Father: A Portrait of Sam Borenstein,,,,,6.6,,,
1992,1993,The Crying Game,3197000.00,101107.00,62548947.00,62548947.00,7.2,90,94,78
1992,1993,The Lady in Waiting,,,,,4.6,,,
1992,1993,The Last of the Mohicans,40000000.00,10976661.00,75505856.00,75505856.00,7.7,76,93,88
1992,1993,The Lover,,181147.00,4899194.00,5013090.00,6.9,,32,79
1992,1993,The Mambo Kings,15500000.00,319793.00,6742168.00,6742168.00,6.4,,81,69
1992,1993,The Panama Deception,,6563.00,309596.00,309596.00,7.6,,,73
1992,1993,The Player,8000000.00,302216.00,21706101.00,21706101.00,7.5,,98,84
1992,1993,The Sandman,,,92080.00,92080.00,7.1,,,
1992,1993,Toys,43000000.00,4810027.00,23278931.00,23278931.00,5.1,40,30,39
1992,1993,Under Siege,35000000.00,15760003.00,83563139.00,156563139.00,6.5,58,79,62
1992,1993,Unforgiven,14400000.00,15018007.00,101157447.00,159157447.00,8.2,85,96,93
1992,1993,When Abortion Was Illegal: Untold Stories,,,,,7,,,
1993,1994,Addams Family Values,47000000.00,"14,117,545, 21",48919043.00,48919043.00,6.8,62,77,63
1993,1994,Beethoven's 2nd,15000000.00,6017225.00,53443066.00,118243066.00,4.9,,23,30
1993,1994,Belle Epoque,,,5418216.00,5418216.00,7.1,,95,78
1993,1994,Black Rider (Schwarzfahrer),,,,,7.7,,,
1993,1994,Blindscape,,,,,,,,
1993,1994,Blood Ties: The Life and Work of Sally Mann,,,,,7.7,,,
1993,1994,Chicks in White Satin,,,,,6.7,,,
1993,1994,Children of Fate,,1099.00,1738.00,1738.00,6.8,,,
1993,1994,Cliffhanger,70000000.00,16176967.00,"84,049,21",255000211.00,6.4,60,69,52
1993,1994,Dave,28000000.00,7306755.00,63270710.00,63270710.00,6.8,76,95,72
1993,1994,Defending Our Lives,,,,,7,,,
1993,1994,Down on the Waterfront,,,,,7.8,,,
1993,1994,Farewell My Concubine,4000000.00,69408.00,5216888.00,5985074.00,8.1,,86,93
1993,1994,Fearless,,144044.00,6995302.00,6995302.00,7.1,,85,80
1993,1994,For Better or for Worse,,,,,7,,,
1993,1994,Geronimo: An American Legend,35000000.00,4018452.00,18635620.00,18635620.00,6.5,,48,51
1993,1994,Hedd Wyn,,,,,7,,,89
1993,1994,I Am a Promise: The Children of Stanton Elementary School,,,,,7.1,,,100
1993,1994,In the Line of Fire,40000000.00,15269388.00,102314823.00,176997168.00,7.2,74,96,79
1993,1994,In the Name of the Father,13000000.00,109805.00,25096862.00,65796862.00,8.1,84,94,95
1993,1994,Jurassic Park,63000000.00,47026828.00,404214720.00,1033928303.00,8.1,68,91,91
1993,1994,Mrs. Doubtfire,25000000.00,20468847.00,219195243.00,441286195.00,70,53,71,77
1993,1994,Orlando,4000000.00,107030.00,5377643.00,5378172.00,7.2,74,85,82
1993,1994,Partners,,,,,5.8,,,
1993,1994,Philadelphia,26000000.00,143433.00,77446440.00,206678440.00,7.7,66,80,89
1993,1994,Poetic Justice,14000000.00,11728455.00,27515786.00,27515786.00,6.1,51,34,83
1993,1994,Schindler's List,22000000.00,656636.00,96898818.00,322161245.00,8.9,94,97,97
1993,1994,Searching for Bobby Fischer,12000000.00,1121354.00,7266383.00,7266383.00,7.4,89,100,86
1993,1994,Shadowlands,22000000.00,81082.00,25842377.00,25842377.00,7.3,,97,89
1993,1994,Short Cuts,,,6110979.00,6110979.00,7.7,79,95,88
1993,1994,Six Degrees of Separation,12000000.00,53058.00,6405918.00,6405918.00,6.8,72,88,71
1993,1994,Sleepless in Seattle,21000000.00,17253733.00,126808165.00,227927165.00,6.8,72,75,75
1993,1994,Small Talk,,,,,5.9,,,
1993,1994,The Age of Innocence,34000000.00,2317289.00,2317289.00,2317289.00,7.2,90,84,75
1993,1994,The Broadcast Tapes of Dr. Peter,,,,,7.1,,,
1993,1994,The Dutch Master,,,,,5.4,,,
1993,1994,The Firm,42000000.00,25400000.00,158348367.00,270248367.00,6.8,58,75,64
1993,1994,The Fugitive,44000000.00,23758855.00,183875760.00,368875760.00,7.8,87,96,89
1993,1994,The Mighty River,,,,,8,,,83
1993,1994,The Nightmare before Christmas,18000000.00,191232.00,77368668.00,91491247.00,8,82,95,91
1993,1994,The Piano,7000000.00,151419.00,40157856.00,40185556.00,7.6,89,90,86
1993,1994,The Remains of the Day,15000000.00,1528982.00,23237911.00,23237911.00,7.8,86,95,89
1993,1994,The Scent of Green Papaya,,,1700992.00,1700992.00,7.4,,100,82
1993,1994,The Screw (La Vis),,,,,7.5,,,
1993,1994,The Village,,,,,7.5,,,
1993,1994,The War Room,,15264.00,901668.00,901668.00,7.3,,96,83
1993,1994,The Wedding Banquet,1000000.00,134870.00,6933459.00,6933459.00,7.6,,96,87
1993,1994,The Wrong Trousers,,,,,8.3,,100,92
1993,1994,What's Eating Gilbert Grape,11000000.00,74421.00,10032765.00,10032765.00,7.8,73,90,89
1993,1994,What's Love Got to Do with It,15000000.00,1222718.00,39100956.00,39100956.00,7.3,76,96,88
1994,1995,89mm od Europy (89mm from Europe),,,,,7,,,
1994,1995,A Great Day in Harlem,,21078.00,527034.00,527034.00,7.4,,89,71
1994,1995,A Time for Justice,,,,,6.6,,,
1994,1995,Before the Rain,1900000.00,,763847.00,763847.00,8,47,92,94
1994,1995,Blue Sky,16000000.00,763890.00,3359465.00,3359465.00,6.4,53,79,58
1994,1995,Blues Highway,,,,,6.2,,,
1994,1995,Bob's Birthday,,,,,6.9,,,
1994,1995,Bullets over Broadway,20000000.00,86072.00,13383747.00,13383747.00,7.4,,97,83
1994,1995,Burnt by the Sun,2800000.00,60074.00,2302338.00,2313461.00,7.9,,80,94
1994,1995,Clear and Present Danger,62000000.00,20348017.00,122187717.00,215887717.00,6.9,74,80,74
1994,1995,Complaints of a Dutiful Daughter,,,,,7.5,,,
