year_film,year_ceremony,ceremony,category_id,category,name,film,winner,count
1928,1929,1,AR,ACTOR,Richard Barthelmess,The Noose,FALSE,1
1928,1929,1,AR,ACTOR,Emil Jannings,The Last Command,TRUE,2
1928,1929,1,AS,ACTRESS,Louise Dresser,A Ship Comes In,FALSE,3
1928,1929,1,AS,ACTRESS,Janet Gaynor,7th Heaven,TRUE,4
1928,1929,1,AS,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE,5
1928,1929,1,AD,ART DIRECTION,Rochus Gliese,Sunrise,FALSE,6
1928,1929,1,AD,ART DIRECTION,William Cameron Menzies,The Dove,TRUE,7
1928,1929,1,AD,ART DIRECTION,Harry Oliver,7th Heaven,FALSE,8
1928,1929,1,C,CINEMATOGRAPHY,George Barnes,The Devil Dancer,FALSE,9
1928,1929,1,C,CINEMATOGRAPHY,Charles Rosher,Sunrise,TRUE,10
1928,1929,1,C,CINEMATOGRAPHY,Karl Struss,Sunrise,TRUE,11
1928,1929,1,DCP,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE,12
1928,1929,1,DCP,DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE,13
1928,1929,1,DDP,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE,14
1928,1929,1,DDP,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE,15
1928,1929,1,DDP,DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE,16
1928,1929,1,EE,ENGINEERING EFFECTS,Ralph Hammeras,,FALSE,17
1928,1929,1,EE,ENGINEERING EFFECTS,Roy Pomeroy,Wings,TRUE,18
1928,1929,1,EE,ENGINEERING EFFECTS,Nugent Slaughter,,FALSE,19
1928,1929,1,OP,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE,20
1928,1929,1,OP,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE,21
1928,1929,1,OP,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE,22
1928,1929,1,UAP,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE,23
1928,1929,1,UAP,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE,24
1928,1929,1,UAP,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE,25
1928,1929,1,WA,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE,26
1928,1929,1,WA,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,FALSE,27
1928,1929,1,WA,WRITING (Adaptation),Benjamin Glazer,7th Heaven,TRUE,28
1928,1929,1,WOS,WRITING (Original Story),Lajos Biro,The Last Command,FALSE,29
1928,1929,1,WOS,WRITING (Original Story),Ben Hecht,Underworld,TRUE,30
1928,1929,1,WTW,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE,31
1928,1929,1,WTW,WRITING (Title Writing),Joseph Farnham,,TRUE,32
1928,1929,1,WTW,WRITING (Title Writing),"George Marion, Jr.",,FALSE,33
1929,1930,2,AR,ACTOR,George Bancroft,Thunderbolt,FALSE,1
1929,1930,2,AR,ACTOR,Warner Baxter,In Old Arizona,TRUE,2
1929,1930,2,AR,ACTOR,Chester Morris,Alibi,FALSE,3
1929,1930,2,AR,ACTOR,Paul Muni,The Valiant,FALSE,4
1929,1930,2,AR,ACTOR,Lewis Stone,The Patriot,FALSE,5
1929,1930,2,AS,ACTRESS,Ruth Chatterton,Madame X,FALSE,6
1929,1930,2,AS,ACTRESS,Betty Compson,The Barker,FALSE,7
1929,1930,2,AS,ACTRESS,Jeanne Eagels,The Letter,FALSE,8
1929,1930,2,AS,ACTRESS,Corinne Griffith,The Divine Lady,FALSE,9
1929,1930,2,AS,ACTRESS,Bessie Love,The Broadway Melody,FALSE,10
1929,1930,2,AS,ACTRESS,Mary Pickford,Coquette,TRUE,11
1929,1930,2,AD,ART DIRECTION,Hans Dreier,The Patriot,FALSE,12
1929,1930,2,AD,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,TRUE,13
1929,1930,2,AD,ART DIRECTION,Mitchell Leisen,Dynamite,FALSE,14
1929,1930,2,AD,ART DIRECTION,William Cameron Menzies,Alibi,FALSE,15
1929,1930,2,AD,ART DIRECTION,Harry Oliver,Street Angel,FALSE,16
1929,1930,2,C,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,FALSE,17
1929,1930,2,C,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,TRUE,18
1929,1930,2,C,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,FALSE,19
1929,1930,2,C,CINEMATOGRAPHY,Ernest Palmer,Four Devils,FALSE,20
1929,1930,2,C,CINEMATOGRAPHY,John Seitz,The Divine Lady,FALSE,21
1929,1930,2,D,DIRECTING,Lionel Barrymore,Madame X,FALSE,22
1929,1930,2,D,DIRECTING,Harry Beaumont,The Broadway Melody,FALSE,23
1929,1930,2,D,DIRECTING,Irving Cummings,In Old Arizona,FALSE,24
1929,1930,2,D,DIRECTING,Frank Lloyd,The Divine Lady,TRUE,25
1929,1930,2,D,DIRECTING,Frank Lloyd,Drag,FALSE,26
1929,1930,2,D,DIRECTING,Ernst Lubitsch,The Patriot,FALSE,27
1929,1930,2,OP,OUTSTANDING PICTURE,Feature Productions,Alibi,FALSE,28
1929,1930,2,OP,OUTSTANDING PICTURE,Fox,In Old Arizona,FALSE,29
1929,1930,2,OP,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE,30
